seed,depth,temperature,gradient_norm,soft_direct_loss_drop,soft_rotated_loss_drop,tempered_direct_loss_drop,tempered_rotated_loss_drop
3503715438342828117,1,2.0000,0.983561,0.000967,-0.000301,0.000099,-0.000027
3503715438342828117,1,1.0000,0.983561,0.000967,-0.000301,0.000182,-0.000064
3503715438342828117,1,0.5000,0.983561,0.000967,-0.000301,0.000262,-0.000125
3503715438342828117,1,0.2500,0.983561,0.000967,-0.000301,0.000124,-0.000072
3503715438342828117,1,0.1000,0.983561,0.000967,-0.000301,0.000001,-0.000001
3503715438342828117,1,hard,0.983561,0.000967,-0.000301,0.000000,0.000000
6870017868308966504,1,soft,0.983452,0.000967,-0.000263,0.000967,-0.000263
6870017868308966504,1,2.0000,0.983452,0.000967,-0.000263,0.000099,-0.000024
6870017868308966504,1,1.0000,0.983452,0.000967,-0.000263,0.000182,-0.000055
6870017868308966504,1,0.5000,0.983452,0.000967,-0.000263,0.000262,-0.000103
6870017868308966504,1,0.2500,0.983452,0.000967,-0.000263,0.000125,-0.000057
6870017868308966504,1,0.1000,0.983452,0.000967,-0.000263,0.000001,-0.000000
6870017868308966504,1,hard,0.983452,0.000967,-0.000263,0.000000,0.000000
18234668199544023167,1,soft,0.982636,0.000966,-0.000272,0.000966,-0.000272
18234668199544023167,1,2.0000,0.982636,0.000966,-0.000272,0.000099,-0.000025
18234668199544023167,1,1.0000,0.982636,0.000966,-0.000272,0.000182,-0.000057
18234668199544023167,1,0.5000,0.982636,0.000966,-0.000272,0.000263,-0.000108
18234668199544023167,1,0.2500,0.982636,0.000966,-0.000272,0.000127,-0.000062
18234668199544023167,1,0.1000,0.982636,0.000966,-0.000272,0.000001,-0.000000
18234668199544023167,1,hard,0.982636,0.000966,-0.000272,0.000000,0.000000
2001287458986747026,1,soft,0.983670,0.000968,-0.000309,0.000968,-0.000309
2001287458986747026,1,2.0000,0.983670,0.000968,-0.000309,0.000098,-0.000029
2001287458986747026,1,1.0000,0.983670,0.000968,-0.000309,0.000182,-0.000064
2001287458986747026,1,0.5000,0.983670,0.000968,-0.000309,0.000261,-0.000120
2001287458986747026,1,0.2500,0.983670,0.000968,-0.000309,0.000124,-0.000068
2001287458986747026,1,0.1000,0.983670,0.000968,-0.000309,0.000001,-0.000001
2001287458986747026,1,hard,0.983670,0.000968,-0.000309,0.000000,0.000000
13400911004452511913,1,soft,0.984426,0.000969,-0.000252,0.000969,-0.000252
13400911004452511913,1,2.0000,0.984426,0.000969,-0.000252,0.000098,-0.000023
13400911004452511913,1,1.0000,0.984426,0.000969,-0.000252,0.000182,-0.000053
13400911004452511913,1,0.5000,0.984426,0.000969,-0.000252,0.000260,-0.000100
13400911004452511913,1,0.2500,0.984426,0.000969,-0.000252,0.000122,-0.000056
13400911004452511913,1,0.1000,0.984426,0.000969,-0.000252,0.000001,-0.000000
13400911004452511913,1,hard,0.984426,0.000969,-0.000252,0.000000,0.000000
14389304000666033340,1,soft,0.984808,0.000970,-0.000270,0.000970,-0.000270
14389304000666033340,1,2.0000,0.984808,0.000970,-0.000270,0.000098,-0.000025
14389304000666033340,1,1.0000,0.984808,0.000970,-0.000270,0.000182,-0.000057
14389304000666033340,1,0.5000,0.984808,0.000970,-0.000270,0.000259,-0.000107
14389304000666033340,1,0.2500,0.984808,0.000970,-0.000270,0.000121,-0.000060
14389304000666033340,1,0.1000,0.984808,0.000970,-0.000270,0.000001,-0.000000
14389304000666033340,1,hard,0.984808,0.000970,-0.000270,0.000000,0.000000
7379312348008863955,1,soft,0.983677,0.000968,-0.000255,0.000968,-0.000255
7379312348008863955,1,2.0000,0.983677,0.000968,-0.000255,0.000099,-0.000023
7379312348008863955,1,1.0000,0.983677,0.000968,-0.000255,0.000182,-0.000055
7379312348008863955,1,0.5000,0.983677,0.000968,-0.000255,0.000261,-0.000107
7379312348008863955,1,0.2500,0.983677,0.000968,-0.000255,0.000124,-0.000062
7379312348008863955,1,0.1000,0.983677,0.000968,-0.000255,0.000001,-0.000000
7379312348008863955,1,hard,0.983677,0.000968,-0.000255,0.000000,0.000000
9520731371184805094,1,soft,0.983753,0.000968,-0.000287,0.000968,-0.000287
9520731371184805094,1,2.0000,0.983753,0.000968,-0.000287,0.000099,-0.000027
9520731371184805094,1,1.0000,0.983753,0.000968,-0.000287,0.000182,-0.000060
9520731371184805094,1,0.5000,0.983753,0.000968,-0.000287,0.000261,-0.000113
9520731371184805094,1,0.2500,0.983753,0.000968,-0.000287,0.000124,-0.000064
9520731371184805094,1,0.1000,0.983753,0.000968,-0.000287,0.000001,-0.000000
9520731371184805094,1,hard,0.983753,0.000968,-0.000287,0.000000,0.000000
2511848558889390333,1,soft,0.984292,0.000969,-0.000292,0.000969,-0.000292
2511848558889390333,1,2.0000,0.984292,0.000969,-0.000292,0.000099,-0.000027
2511848558889390333,1,1.0000,0.984292,0.000969,-0.000292,0.000182,-0.000060
2511848558889390333,1,0.5000,0.984292,0.000969,-0.000292,0.000260,-0.000111
2511848558889390333,1,0.2500,0.984292,0.000969,-0.000292,0.000123,-0.000062
